RIN,Primary Key,Date  Occurred,Time  Occurred,Location,Area  Command,Nature of Contact,Reason Desc,R2R Level,Master Subject ID,Subject  Sex,Subject  Race,Subject  Ethnicity,Subject Conduct Desc,Subject Resistance,Weapon Used 1,Weapon Used 2,Weapon Used 3,Weapon Used 4,Weapon Used 5,Number  Shots,Effect on Officer,Officer  Organization Desc,Officer  Commission Date,Officer Yrs of Service,X-Coordinate,Y-Coordinate,Council District,CENSUS_TRACT,ZIP,COUNTY,county description
210849,20183220313,11/18/2018 0:00,251,E 6TH ST / NECHES ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459281892: 20183220313,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,11/30/2012 0:00,6,3115761,10070320,9,-,78701,1,TRAVIS COUNTY
210850,20183220313,11/18/2018 0:00,251,E 6TH ST / NECHES ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459112697: 20183220313,M,B,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,11/30/2012 0:00,6,3115761,10070320,9,-,78701,1,TRAVIS COUNTY
210851,20183220313,11/18/2018 0:00,251,E 6TH ST / NECHES ST,GE,5-VIEWED OFFENSE [non MV-Stop],OTHER (DOCUMENT IN SUPPLEMENT),4,459112697: 20183220313,M,B,N,NO CONTRIBUTING CHARACTERISTICS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,4/23/2010 0:00,9,3115761,10070320,9,-,78701,1,TRAVIS COUNTY
210825,20183220202,11/18/2018 0:00,130,400 BLOCK E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,459741675: 20183220202,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
210859,20183220299,11/18/2018 0:00,245,E 11TH ST / N IH 35 SVRD SB,CH,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,2,459741704: 20183220299,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,CHARLIE 800 REG III PATROL,10/28/2016 0:00,2,3117293,10071729,1,-,78701,1,TRAVIS COUNTY
211502,20183220216,11/18/2018 0:00,146,2105 E 12TH ST,CH,1-TRAFFIC STOP [Motor Vehicle Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459741690: 20183220216,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,,CHARLIE 400 REG III PATROL,4/23/2010 0:00,9,3122287,10073082,1,8.04,78702,1,TRAVIS COUNTY
210854,20183220194,11/18/2018 0:00,138,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,459742303: 20183220194,M,U,H,NO CONTRIBUTING CHARACTERISTICS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
210881,20183220805,11/18/2018 0:00,1142,N CAPITAL OF TEXAS HWY SB / SPICEWOOD SPRINGS RD,AD,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,3,119276914: 20183220805,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),,,,,1,,MOTORS NORTH 1 HWY ENFORCEMENT,3/23/2012 0:00,7,3104338,10112209,10,17.05,78750,1,TRAVIS COUNTY
210780,20183220202,11/18/2018 0:00,129,400 BLOCK E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459741675: 20183220202,F,W,H,NO CONTRIBUTING CHARACTERISTICS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,GEORGE 800 REG 1 NIGHTS,3/20/2015 0:00,4,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
210823,20183220202,11/18/2018 0:00,129,400 BLOCK E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459741675: 20183220202,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 900 REG I NIGHTS,3/21/2014 0:00,5,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
210858,20183220299,11/18/2018 0:00,242,E 11TH ST / N IH 35 SVRD SB,CH,5-VIEWED OFFENSE [non MV-Stop],"IN CUSTODY, MAINTAINING CONTROL",4,459742306: 20183220299,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,4/23/2010 0:00,9,3117293,10071729,1,-,78701,1,TRAVIS COUNTY
211041,20183220299,11/18/2018 0:00,242,E 11TH ST / N IH 35 SVRD SB,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459741704: 20183220299,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 800 REG III PATROL,6/23/2017 0:00,1,3117293,10071729,1,-,78701,1,TRAVIS COUNTY
211500,20183220299,11/18/2018 0:00,242,E 11TH ST / N IH 35 SVRD SB,CH,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459741704: 20183220299,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 400 REG III PATROL,4/23/2010 0:00,9,3117293,10071729,1,-,78701,1,TRAVIS COUNTY
211040,20183220299,11/18/2018 0:00,242,E 11TH ST / N IH 35 SVRD SB,CH,5-VIEWED OFFENSE [non MV-Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,459742306: 20183220299,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,CHARLIE 800 REG III PATROL,6/23/2017 0:00,1,3117293,10071729,1,-,78701,1,TRAVIS COUNTY
210803,20183220805,11/18/2018 0:00,1121,N CAPITAL OF TEXAS HWY SB / SPICEWOOD SPRINGS RD,AD,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,119276914: 20183220805,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,CED - PRONGS MISSED-ENTER # CYCLES (use #shots field),,,,,2,NO COMPLAINT OF INJURY/PAIN,ADAM 100 REG II PATROL,3/23/2012 0:00,7,3104338,10112209,10,17.05,78750,1,TRAVIS COUNTY
210802,20183221660,11/18/2018 0:00,2329,3610 BANNOCKBURN DR,DA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND ANOTHER,4,288774992: 20183221660,F,W,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,10/7/2011 0:00,7,3086227,10050587,8,17.76,78749,1,TRAVIS COUNTY
210999,20183220285,11/18/2018 0:00,227,E 7TH ST / TRINITY ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,459741692: 20183220285,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,IDA 600 REG I PATROL,11/30/2012 0:00,6,3115529,10070760,9,-,78701,1,TRAVIS COUNTY
210855,20183220364,11/18/2018 0:00,545,11206 S IH 35 SVRD SB,FR,4-DISPATCHED CALL [non MV Stop],TO RESTRAIN FOR SUBJECTS SAFETY,4,459395151: 20183220364,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,FRANK 800 REG IV PATROL,12/22/2017 0:00,1,3098214,10023712,5,-,78748,1,TRAVIS COUNTY
210742,20183211099,11/17/2018 0:00,,4430 MANCHACA RD,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,459273655: 20183211099,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 600 EVENINGS REG IV PATROL,12/22/2017 0:00,1,3099912,10056139,5,-,78745,1,TRAVIS COUNTY
210741,20183210955,11/17/2018 0:00,,600 N IH 35 SVRD NB,CH,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,269684520: 20183210955,M,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 100 REG I DAYS,3/21/2014 0:00,5,3117073,10070111,7,-,78753,1,TRAVIS COUNTY
210863,20183210426,11/17/2018 0:00,,400 JESSIE ST,DA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,458815835: 20183210426,M,W,H,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 500 REG IV PATROL,12/22/2017 0:00,1,3109087,10068696,5,13.03,78704,1,TRAVIS COUNTY
210740,20183210955,11/17/2018 0:00,,600 N IH 35 SVRD NB,CH,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,269684520: 20183210955,M,B,N,EDP/MENTALLY UNSTABLE,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 100 REG I DAYS,10/7/2011 0:00,7,3117073,10070111,7,-,78753,1,TRAVIS COUNTY
210805,20183211245,11/17/2018 0:00,,1071 SPRINGDALE RD,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,356778646: 20183211245,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,12/22/2017 0:00,1,3130664,10072597,3,-,78721,1,TRAVIS COUNTY
210839,20183211485,11/17/2018 0:00,,2200 SOUTH LAKESHORE BLVD,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459721221: 20183211485,F,W,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,12/22/2017 0:00,1,3120669,10062547,9,-,78741,1,TRAVIS COUNTY
210814,20183211537,11/17/2018 0:00,,1000 E 41ST ST,BA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459741667: 20183211537,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,BAKER 400 REG I PATROL,9/2/2018 0:00,0,3121344,10082703,9,-,78751,1,TRAVIS COUNTY
210840,20183211485,11/17/2018 0:00,2304,2200 SOUTH LAKESHORE BLVD,HE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459721221: 20183211485,F,W,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN,HENRY 600 REGION III PATROL,12/22/2017 0:00,1,3120669,10062547,9,-,78741,1,TRAVIS COUNTY
210998,20183210260,11/17/2018 0:00,345,1700 NELMS DR,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315558785: 20183210260,F,B,N,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 800 REG III PATROL,12/22/2017 0:00,1,3107817,10043252,2,24.19,78744,1,TRAVIS COUNTY
211050,20183210215,11/17/2018 0:00,238,611 RED RIVER ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,4,459695666: 20183210215,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3116226,10070431,9,-,78701,1,TRAVIS COUNTY
210720,20183210215,11/17/2018 0:00,238,611 RED RIVER ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459741525: 20183210215,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DWI TEAM 1 REG III HWY ENFORCEMENT,3/20/2015 0:00,4,3116226,10070431,9,-,78701,1,TRAVIS COUNTY
210920,20183210215,11/17/2018 0:00,238,611 RED RIVER ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459741525: 20183210215,F,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3116226,10070431,9,-,78701,1,TRAVIS COUNTY
210806,20183211245,11/17/2018 0:00,2101,1071 SPRINGDALE RD,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,356778646: 20183211245,F,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,10/28/2016 0:00,2,3130664,10072597,3,-,78721,1,TRAVIS COUNTY
210919,20183210180,11/17/2018 0:00,335,403 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,314114972: 20183210180,M,W,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115468,10070315,9,-,78701,1,TRAVIS COUNTY
210721,20183210260,11/17/2018 0:00,411,1700 NELMS DR,FR,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,315558785: 20183210260,F,B,N,EDP/MENTALLY UNSTABLE,DEFENSIVE RESISTANCE; AGGRESSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,HENRY 800 REG III PATROL,7/8/2016 0:00,2,3107817,10043252,2,24.19,78744,1,TRAVIS COUNTY
210847,20183210426,11/17/2018 0:00,901,400 JESSIE ST,DA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,458815835: 20183210426,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 100 REG IV PATROL,1/6/1995 0:00,24,3109087,10068696,5,13.03,78704,1,TRAVIS COUNTY
210739,20183210701,11/17/2018 0:00,1146,6920 N LAMAR BLVD,ID,4-DISPATCHED CALL [non MV Stop],NECESSARY TO DEFEND REPORTING OFFICER,3,302385548: 20183210701,M,W,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE; PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,METRO TAC REGION 2,6/23/2006 0:00,12,3121146,10096118,7,-,78757,1,TRAVIS COUNTY
210745,20183211537,11/17/2018 0:00,2047,1000 E 41ST ST,BA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,459741667: 20183211537,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,COMPLAINT OF INJURY/PAIN BUT NONE OBSERVED,BAKER 300 REG I PATROL,3/20/2015 0:00,4,3121344,10082703,9,-,78751,1,TRAVIS COUNTY
210719,20183210180,11/17/2018 0:00,209,403 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,314114972: 20183210180,M,W,N,NO CONTRIBUTING CHARACTERISTICS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,0,NO COMPLAINT OF INJURY/PAIN,DWI TEAM 1 REG III HWY ENFORCEMENT,3/20/2015 0:00,4,3115468,10070315,9,-,78701,1,TRAVIS COUNTY
210744,20183211099,11/17/2018 0:00,1543,4430 MANCHACA RD,DA,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",3,459273655: 20183211099,M,W,H,EDP/MENTALLY UNSTABLE; SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,MINOR INJURY,DAVID 600 EVENINGS REG IV PATROL,6/23/2017 0:00,1,3099912,10056139,5,-,78745,1,TRAVIS COUNTY
212260,20183210947,11/17/2018 0:00,1411,3112 E CESAR CHAVEZ ST,CH,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,459659984: 20183210947,F,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,CHARLIE 600 REG III EVENING SHIFT,10/28/2016 0:00,2,3125098,10065185,3,-,78702,1,TRAVIS COUNTY
210864,20183201312,11/16/2018 0:00,,1212 S LAMAR BLVD,DA,4-DISPATCHED CALL [non MV Stop],,3,6422823: 20183201312,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,12/22/2017 0:00,1,3108130,10065731,5,-,78704,1,TRAVIS COUNTY
210682,20183200147,11/16/2018 0:00,,400 E 6TH ST,GE,4-DISPATCHED CALL [non MV Stop],"IN CUSTODY, MAINTAINING CONTROL",4,415236368: 20183200147,M,U,H,NO CONTRIBUTING CHARACTERISTICS,NOT RESISTANT,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DWI TEAM 2 REG III HWY ENFORCEMENT,1/4/2008 0:00,11,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
210711,20183200001,11/16/2018 0:00,,700 RED RIVER ST,GE,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,373709092: 20183200001,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,,GEORGE 600 REG I EVENING,3/20/2015 0:00,4,3116193,10070596,9,-,78701,1,TRAVIS COUNTY
211127,20183201312,11/16/2018 0:00,,1212 S LAMAR BLVD,DA,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,3,6422823: 20183201312,M,W,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,AGGRESSIVE RESISTANCE,CED - PRONGS-ENTER # CYCLES (use #shots field),WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,1,NO COMPLAINT OF INJURY/PAIN,DAVID 300 REG IV PATROL,1/4/2008 0:00,11,3108130,10065731,5,-,78704,1,TRAVIS COUNTY
210681,20183200147,11/16/2018 0:00,207,400 E 6TH ST,GE,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,415236368: 20183200147,M,U,H,NO CONTRIBUTING CHARACTERISTICS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,6/18/2004 0:00,14,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
210683,20183200147,11/16/2018 0:00,207,400 E 6TH ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,415236368: 20183200147,M,U,H,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,PREPARATORY RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 800 REG 1 NIGHTS,3/21/2014 0:00,5,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
210684,20183200147,11/16/2018 0:00,207,400 E 6TH ST,GE,6-SELF-INITIATED SUBJECT STOP [non-MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,415236368: 20183200147,M,U,H,NO CONTRIBUTING CHARACTERISTICS,PASSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,DWI TEAM 2 REG III HWY ENFORCEMENT,1/4/2008 0:00,11,3115491,10070521,9,-,78701,1,TRAVIS COUNTY
211341,20183200166,11/16/2018 0:00,230,600 TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,4,459745625: 20183200166,M,W,H,NO CONTRIBUTING CHARACTERISTICS,PASSIVE RESISTANCE; DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115403,10070458,9,-,78701,1,TRAVIS COUNTY
210807,20183201612,11/16/2018 0:00,1938,METRIC BLVD / BITTERN HOLW,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,308350591: 20183201612,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 800 REG II PATROL,6/23/2017 0:00,1,3126551,10120165,7,-,78758,1,TRAVIS COUNTY
210808,20183201612,11/16/2018 0:00,1938,METRIC BLVD / BITTERN HOLW,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,308350591: 20183201612,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,3/20/2015 0:00,4,3126551,10120165,7,-,78758,1,TRAVIS COUNTY
210809,20183201612,11/16/2018 0:00,1938,METRIC BLVD / BITTERN HOLW,AD,4-DISPATCHED CALL [non MV Stop],NECESSARY TO EFFECT ARREST / DETENTION,4,308350591: 20183201612,M,B,N,SUSPECTED UNDER INFLUENCE OF ALCOHOL/DRUGS,DEFENSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,EDWARD 500 REG II PATROL,3/21/2014 0:00,5,3126551,10120165,7,-,78758,1,TRAVIS COUNTY
211200,20183200166,11/16/2018 0:00,222,600 TRINITY ST,GE,5-VIEWED OFFENSE [non MV-Stop],NECESSARY TO DEFEND ANOTHER,3,459745036: 20183200166,M,U,H,NO CONTRIBUTING CHARACTERISTICS,AGGRESSIVE RESISTANCE,WEAPONLESS (PRESSURE POINTS/KICKS/HAND),,,,,,NO COMPLAINT OF INJURY/PAIN,GEORGE 400 REG I EVENING,12/12/2014 0:00,4,3115403,10070458,9,-,78701,1,TRAVIS COUNTY
